metric,m,n,d,noise,family,effect,trials,rejections,rate,wilson_lower,wilson_upper
mmd_squared,8,2,256,0.02,gaussian_null,1.0,100,8,0.08,0.041093461484380624,0.14998107700948735
energy_statistic,8,2,256,0.02,gaussian_null,1.0,100,8,0.08,0.041093461484380624,0.14998107700948735
mmd_squared,8,2,256,0.02,ring_null,1.0,100,7,0.07,0.03431926106727268,0.137495147390735
energy_statistic,8,2,256,0.02,ring_null,1.0,100,7,0.07,0.03431926106727268,0.137495147390735
mmd_squared,8,2,256,0.02,separated,0.5,100,60,0.6,0.5020025867910618,0.6905987135675411
energy_statistic,8,2,256,0.02,separated,0.5,100,63,0.63,0.5322052958094291,0.7181763946567546
mmd_squared,8,2,256,0.02,separated,1.0,100,100,1.0,0.9630065017930143,1.0
energy_statistic,8,2,256,0.02,separated,1.0,100,100,1.0,0.9630065017930143,1.0
mmd_squared,8,2,256,0.02,ring_disk,0.5,100,8,0.08,0.041093461484380624,0.14998107700948735
energy_statistic,8,2,256,0.02,ring_disk,0.5,100,8,0.08,0.041093461484380624,0.14998107700948735
mmd_squared,8,2,256,0.02,ring_disk,1.0,100,10,0.1,0.0552291370606751,0.17436566150491345
energy_statistic,8,2,256,0.02,ring_disk,1.0,100,8,0.08,0.041093461484380624,0.14998107700948735
mmd_squared,8,2,256,0.02,gaussian_mixture,0.5,100,14,0.14,0.08526343659939134,0.22137188210963837
energy_statistic,8,2,256,0.02,gaussian_mixture,0.5,100,10,0.1,0.0552291370606751,0.17436566150491345
mmd_squared,8,2,256,0.02,gaussian_mixture,1.0,100,33,0.33,0.24563122734128034,0.4269465620490947
energy_statistic,8,2,256,0.02,gaussian_mixture,1.0,100,23,0.23,0.15843265880303448,0.3215438302287378
mmd_squared,8,2,256,0.15,gaussian_null,1.0,100,10,0.1,0.0552291370606751,0.17436566150491345
energy_statistic,8,2,256,0.15,gaussian_null,1.0,100,10,0.1,0.0552291370606751,0.17436566150491345
mmd_squared,8,2,256,0.15,ring_null,1.0,100,3,0.03,0.010254524024038925,0.0845193642905276
energy_statistic,8,2,256,0.15,ring_null,1.0,100,3,0.03,0.010254524024038925,0.0845193642905276
mmd_squared,8,2,256,0.15,separated,0.5,100,64,0.64,0.5423540245160874,0.7272877959859567
energy_statistic,8,2,256,0.15,separated,0.5,100,62,0.62,0.5220975529551107,0.7090240074752127
mmd_squared,8,2,256,0.15,separated,1.0,100,100,1.0,0.9630065017930143,1.0
energy_statistic,8,2,256,0.15,separated,1.0,100,100,1.0,0.9630065017930143,1.0
mmd_squared,8,2,256,0.15,ring_disk,0.5,100,4,0.04,0.01566330399154762,0.0983707143588792
energy_statistic,8,2,256,0.15,ring_disk,0.5,100,4,0.04,0.01566330399154762,0.0983707143588792
mmd_squared,8,2,256,0.15,ring_disk,1.0,100,5,0.05,0.02154367915436796,0.11175046923191913
energy_statistic,8,2,256,0.15,ring_disk,1.0,100,6,0.06,0.027786123963188192,0.1247681544589592
