metric,m,n,d,noise,family,effect,trials,rejections,rate,wilson_lower,wilson_upper
mmd_squared,16,2,256,0.02,gaussian_null,1.0,400,17,0.0425,0.026701694991131116,0.06700205432475019
energy_statistic,16,2,256,0.02,gaussian_null,1.0,400,16,0.04,0.024769063069711758,0.06398224771784103
mmd_squared,16,2,256,0.02,ring_null,1.0,400,23,0.0575,0.038617542757733075,0.08480083772811935
energy_statistic,16,2,256,0.02,ring_null,1.0,400,23,0.0575,0.038617542757733075,0.08480083772811935
mmd_squared,16,2,256,0.02,separated,0.5,200,192,0.96,0.923067931799067,0.9795943679338476
energy_statistic,16,2,256,0.02,separated,0.5,200,190,0.95,0.9104218518612239,0.972617354399236
mmd_squared,16,2,256,0.02,separated,1.0,200,200,1.0,0.9811546736227335,1.0
energy_statistic,16,2,256,0.02,separated,1.0,200,200,1.0,0.9811546736227335,1.0
mmd_squared,16,4,256,0.15,gaussian_null,1.0,400,21,0.0525,0.034591528357920405,0.07892197507127496
energy_statistic,16,4,256,0.15,gaussian_null,1.0,400,21,0.0525,0.034591528357920405,0.07892197507127496
mmd_squared,16,4,256,0.15,ring_null,1.0,400,18,0.045,0.028651458653886006,0.07000472919032381
energy_statistic,16,4,256,0.15,ring_null,1.0,400,18,0.045,0.028651458653886006,0.07000472919032381
mmd_squared,16,4,256,0.15,separated,0.5,200,193,0.965,0.9295293884777092,0.9829444579914328
energy_statistic,16,4,256,0.15,separated,0.5,200,193,0.965,0.9295293884777092,0.9829444579914328
mmd_squared,16,4,256,0.15,separated,1.0,200,200,1.0,0.9811546736227335,1.0
energy_statistic,16,4,256,0.15,separated,1.0,200,200,1.0,0.9811546736227335,1.0
mmd_squared,32,4,384,0.02,gaussian_mixture,1.0,200,195,0.975,0.942821659593358,0.9892752803482386
energy_statistic,32,4,384,0.02,gaussian_mixture,1.0,200,179,0.895,0.8448196800887696,0.9302925120731899
mmd_squared,32,4,384,0.02,gaussian_null,1.0,400,25,0.0625,0.04268914141220244,0.09063411613030699
energy_statistic,32,4,384,0.02,gaussian_null,1.0,400,25,0.0625,0.04268914141220244,0.09063411613030699
mmd_squared,32,4,384,0.02,ring_null,1.0,400,18,0.045,0.028651458653886006,0.07000472919032381
energy_statistic,32,4,384,0.02,ring_null,1.0,400,18,0.045,0.028651458653886006,0.07000472919032381
mmd_squared,32,4,384,0.02,separated,0.5,200,200,1.0,0.9811546736227335,1.0
energy_statistic,32,4,384,0.02,separated,0.5,200,200,1.0,0.9811546736227335,1.0
mmd_squared,32,4,384,0.02,separated,1.0,200,200,1.0,0.9811546736227335,1.0
energy_statistic,32,4,384,0.02,separated,1.0,200,200,1.0,0.9811546736227335,1.0
mmd_squared,64,2,384,0.15,gaussian_null,1.0,400,21,0.0525,0.034591528357920405,0.07892197507127496
energy_statistic,64,2,384,0.15,gaussian_null,1.0,400,21,0.0525,0.034591528357920405,0.07892197507127496
mmd_squared,64,2,384,0.15,ring_null,1.0,400,17,0.0425,0.026701694991131116,0.06700205432475019
energy_statistic,64,2,384,0.15,ring_null,1.0,400,17,0.0425,0.026701694991131116,0.06700205432475019
mmd_squared,64,2,384,0.15,separated,0.5,200,200,1.0,0.9811546736227335,1.0
energy_statistic,64,2,384,0.15,separated,0.5,200,200,1.0,0.9811546736227335,1.0
mmd_squared,64,2,384,0.15,separated,1.0,200,200,1.0,0.9811546736227335,1.0
energy_statistic,64,2,384,0.15,separated,1.0,200,200,1.0,0.9811546736227335,1.0
